100	11	8	10510	18831	11431	222	
200	29	22	26542	49485	35551	1078		
300	79	45	49098	93061	74629	3157	
上面的忘记除deadlineFactor的个数了

100	0	0	561	1093	584	11	
200	1	1	1397	2590	1814	57	
300	3	2	2432	4510	3664	157	
400	7	3	3564	6693	6268	339	
500	11	4	4933	9552	9904	616	
600	19	7	6176	11901	14176	1069	
700	26	10	7439	13611	16869	1478（远程过，可能执行的慢了）	
700	27	10	7356	14206	19198	1763（无远程）
800	32	12	7230	16579	22564	2303	
900	48	16	9822	18609	30886	3798	
1000	61	21	10942	21495	39498	5662		
   .\dax\CyberShake_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.057s
   .\dax\Montage_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.581s
   .\dax\Montage_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.606s
   .\dax\Montage_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.605s
   .\dax\Montage_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.599s
   .\dax\Montage_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.567s
   .\dax\Montage_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.587s
   .\dax\Montage_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.595s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.005s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.005s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.003s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.007s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.005s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.371s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.438s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.359s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.399s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.337s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.438s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.377s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.404s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.379s
      .\dax\Sipht_1000.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	2.374s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.004s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	0.007s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.416s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.307s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.361s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.401s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.369s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.371s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.514s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.392s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.411s
      .\dax\Sipht_1000.xml-deadlineFactor_2.000 mpcMapMy2_42的runtime：	2.354s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.002s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.004s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.006s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.913s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.923s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.899s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.901s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.916s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.878s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.886s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.863s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.896s
      .\dax\Sipht_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	1.909s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.003s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.004s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.004s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.026s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	1.996s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.008s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	1.976s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.0s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	1.949s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	1.989s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	1.995s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.038s
      .\dax\Sipht_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.004s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.003s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.009s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.01s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.009s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.01s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.01s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.01s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.009s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.84s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.826s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.833s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.925s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.888s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.848s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.913s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.85s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.876s
      .\dax\Sipht_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	1.873s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\Sipht_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.004s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\Sipht_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.311s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.363s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.333s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.331s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.305s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.318s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.312s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.35s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.371s
      .\dax\Sipht_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.33s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\Sipht_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\Sipht_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.008s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.13s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.077s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.096s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.081s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.074s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.1s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.082s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.102s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.07s
      .\dax\Sipht_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.07s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\Sipht_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.1s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.088s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.082s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.083s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.083s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.105s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.098s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.108s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.112s
      .\dax\Sipht_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	1.096s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\Sipht_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.003s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\Sipht_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
      .\dax\Sipht_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	2.132s
      .\dax\Sipht_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	2.134s
      .\dax\Sipht_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	2.112s
      .\dax\Sipht_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	2.123s
      .\dax\Sipht_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	2.103s
      .\dax\Sipht_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	2.156s
      .\dax\Sipht_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	2.145s
      .\dax\Sipht_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	2.14s
      .\dax\Sipht_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	2.15s
